Probe	Reason	ShortCitation
cg00167275	CrossHybridization	Chen_etal_2013;Price_etal_2013
cg00565090	Polymorphism	Chen_etal_2013;Daca-Roszak_etal_2015;Price_etal_2013
cg00804338	CrossHybridization	Chen_etal_2013;Price_etal_2013
cg00804338	RepeatSequenceElements	Price_etal_2013
cg01620164	Polymorphism	Chen_etal_2013
cg08115371	Polymorphism	Chen_etal_2013
cg08280341	Polymorphism	Naeem_etal_2014;Price_etal_2013
cg16936953	Polymorphism	Chen_etal_2013
cg17107691	Polymorphism	Chen_etal_2013;Naeem_etal_2014
cg23778841	CrossHybridization	Chen_etal_2013;Price_etal_2013
cg23778841	RepeatSequenceElements	Price_etal_2013
