probe	chr	position_hg38	gene	female_beta_change_per_10_adult_years	female_slope_hc3_p	male_beta_change_per_10_adult_years	male_slope_hc3_p	male_minus_female_beta_change_per_10_adult_years	interaction_hc3_p	interaction_fdr	interaction_slide_clustered_p	interaction_slide_clustered_fdr	cell_adjusted_interaction_fdr	cell_adjusted_slide_clustered_fdr	unadjusted_interaction_fdr	linear_age_sensitivity_fdr	linear_age_slide_clustered_fdr	conservative_evidence_tier	Illumina_gene_annotation	Illumina_gene_group	CpG_island_relation
cg01620164	2	163733762.0	FIGN	-0.02575581324573308	3.2485854873750182e-15	-0.05994864120193052	3.4038402079506993e-65	-0.03419282795619744	1.7145473632649694e-16	6.940196253444841e-11	6.703417231380488e-11	2.713429337169888e-05	3.803182039710279e-13	1.677569274893497e-05	1.9848039224578178e-14	7.940868964546987e-11	2.9625466371402568e-05	robust_across_full_and_cell_adjusted_models	FIGN	Body	N_Shelf
cg23256579	12	10849804.0	PRR4	-0.022143595560903465	1.300484013624404e-32	-0.04747351321176399	2.0719104020995055e-63	-0.025329917650860526	2.9681322221699225e-13	6.007247326433039e-08	6.522356670064714e-09	0.0008800463666596018	1.5017632625594507e-09	0.00013286055759369645	1.2720048141297134e-10	8.417749327565508e-08	0.0010389852341188349	robust_across_full_and_cell_adjusted_models	PRR4;PRR4	TSS1500;Body	
cg00167275	10	87094831.0	SHLD2 / GLUD1	0.002358944819088677	0.04524970069419799	0.009850324482429448	6.831347259626513e-13	0.0074913796633407715	7.063541083645761e-13	9.530671168204607e-08	4.4128991656103745e-08	0.00297711093825544	2.7016773902596044e-06	0.00395832059251738	1.001176228782487e-06	9.654995853437876e-08	0.0031258583959256816	robust_across_full_and_cell_adjusted_models	FAM35A;GLUD1;GLUD1	TSS1500;5'UTR;1stExon	Island
cg00804338	13	113584919.0	TFDP1	-0.0023587424349936848	0.11797223725614472	0.004960464157678308	7.229259019327726e-05	0.007319206592671999	2.0972227814910262e-12	2.122300322900705e-07	5.7661097716370004e-09	0.0008800463666596018	9.073734321337795e-08	6.499220757641949e-05	5.35251963654083e-09	2.2787763274229382e-07	0.0010389852341188349	robust_across_full_and_cell_adjusted_models	TFDP1;TFDP1	5'UTR;Body	
cg18942579	17	59838412.0	VMP1	0.00037867313225486537	0.8323357429835417	-0.010932055972330098	7.024440478678463e-12	-0.011310729104584995	1.6174902184149412e-08	0.0013094650861613104	2.0065269018975837e-06	0.06247753684083151	0.009561060088810797	0.11482551679763633	0.0811097174903521	0.0012070162331486764	0.05850279034161362	hc3_only	TMEM49	Body	
cg12054453	17	59838356.0	VMP1	0.004480860363716223	0.08128703890484874	-0.011919135329943284	6.45846896255507e-08	-0.016399995693659502	5.8788145578157585e-08	0.003966073655260561	4.482966191483825e-07	0.024672890729446027	0.02843079639697416	0.06680191997463622	0.011262913535861268	0.0037031600256308655	0.024994303399959755	robust_in_fully_adjusted_model	TMEM49	Body	
cg08115371	11	79404662.0	TENM4	-0.002551239365088731	0.12338013686094627	0.008772898808359986	1.114628838433856e-06	0.011324138173448683	1.1079931440084487e-07	0.005456775825873245	3.2308265510236702e-06	0.07692845081194201	0.00793269714197477	0.06680191997463622	0.1853724445403115	0.005231135707696094	0.0759795022931594	hc3_only	ODZ4	5'UTR	
cg17107691	19	11178700.0	KANK2	0.0013383808224755253	0.22468482607181023	-0.006167916127425321	4.9987650584260905e-08	-0.007506296949900883	1.2079777282053663e-07	0.005456775825873245	4.274842491799836e-08	0.00297711093825544	0.004891492728248649	0.038764970865246544	5.6376743665924174e-05	0.005231135707696094	0.0031258583959256816	robust_across_full_and_cell_adjusted_models	KANK2;KANK2	Body;Body	S_Shore
cg16936953	17	59838304.0	VMP1	0.0010748694600359902	0.6310371427489299	-0.012438538477976047	4.960640532996235e-10	-0.013513407938012029	1.213266921606372e-07	0.005456775825873245	3.647096027435899e-06	0.08201569284853254	0.01587455017613753	0.17160167909466467	0.047759183969539355	0.005231135707696094	0.07854465894453505	hc3_only	TMEM49	Body	
cg23778841	13	113585382.0	TFDP1	0.00023035534163873858	0.6476508395640067	0.0029144426655004865	9.656307684661482e-08	0.00268408732386175	1.4195206571781685e-07	0.005745978301745506	1.4271946330321385e-06	0.05106139422339446	0.02843079639697416	0.043422273424167754	0.014832765356779663	0.005523504039919089	0.050493085518284575	hc3_only	TFDP1;TFDP1	5'UTR;Body	
cg00565090	19	47755001.0	NOP53 / SNORD23	0.004235945134516391	2.0080120028200445e-12	0.00015226915455439425	0.8168971078953788	-0.004083675979962003	1.5667358609148665e-07	0.00576534583626093	2.221621333620408e-06	0.06423389630620498	0.472442430634383	0.23505087665554603	0.03721345852538999	0.005523504039919089	0.06419705872871863	hc3_only	SNORD23;GLTSCR2	TSS1500;Body	
cg08280341	2	163737690.0	FIGN region	-0.003686502101007322	0.021224485417751446	-0.01356432974769514	3.5106479344436174e-17	-0.009877827646687837	2.6060373932486424e-07	0.008790663617928044	1.5137412655193859e-06	0.05106139422339446	0.009561060088810797	0.03824374708172961	0.005814771227948383	0.008564221394494925	0.050493085518284575	hc3_only			S_Shore
cg21121843	4	3202255.0	HTT	-0.0003585212925924943	0.8460754460247767	-0.011937647238402259	4.5531039069461236e-08	-0.011579125945809763	9.697602266053924e-07	0.03019557336969312	1.2023138597406463e-06	0.0486676211087398	0.2857724298760694	0.17712106305103517	0.04663928709024451	0.0316186977337107	0.050493085518284575	robust_in_fully_adjusted_model	HTT	Body	
