probe	chr	position	unadjusted_interaction_m	unadjusted_se	unadjusted_p	unadjusted_hc3_se	unadjusted_hc3_p	unadjusted_cluster_se	unadjusted_cluster_p	unadjusted_interaction_beta	cell_adjusted_interaction_m	cell_adjusted_se	cell_adjusted_p	cell_adjusted_hc3_se	cell_adjusted_hc3_p	cell_adjusted_cluster_se	cell_adjusted_cluster_p	cell_adjusted_interaction_beta	fully_adjusted_interaction_m	fully_adjusted_se	fully_adjusted_p	fully_adjusted_hc3_se	fully_adjusted_hc3_p	fully_adjusted_cluster_se	fully_adjusted_cluster_p	fully_adjusted_interaction_beta	fully_adjusted_linear_age_interaction_m	fully_adjusted_linear_age_se	fully_adjusted_linear_age_p	fully_adjusted_linear_age_hc3_se	fully_adjusted_linear_age_hc3_p	fully_adjusted_linear_age_cluster_se	fully_adjusted_linear_age_cluster_p	fully_adjusted_linear_age_interaction_beta	unadjusted_fdr	unadjusted_hc3_fdr	unadjusted_cluster_fdr	cell_adjusted_fdr	cell_adjusted_hc3_fdr	cell_adjusted_cluster_fdr	fully_adjusted_fdr	fully_adjusted_hc3_fdr	fully_adjusted_cluster_fdr	fully_adjusted_linear_age_fdr	fully_adjusted_linear_age_hc3_fdr	fully_adjusted_linear_age_cluster_fdr
cg01620164	2	163733762.0	-0.459747067335227	0.04651552528655652	1.070867990947704e-21	0.048693668319006664	4.903377667683222e-20	0.05495435871551483	1.0342179823855126e-11	-0.07306796347083472	-0.44510360488750267	0.046211044019069385	9.77762486262567e-21	0.048961290515573345	9.39560712705395e-19	0.05553360305838403	4.144366919790349e-11	-0.07101632057256868	-0.44824442229027683	0.04788314714227584	1.2796487047450439e-19	0.05295288769938054	1.7145473632649694e-16	0.0567852344070658	6.703417231380488e-11	-0.07180493870801463	-0.02138539066723183	0.00228735683834505	1.4121536856225647e-19	0.002531559985930541	1.9617595018928627e-16	0.0027168052445404977	7.318851426913326e-11	-0.003426440426643986	4.3346915797978444e-16	1.9848039224578178e-14	4.18633857563955e-06	3.9578163247682066e-15	3.803182039710279e-13	1.677569274893497e-05	5.179800416528131e-14	6.940196253444841e-11	2.713429337169888e-05	5.716158053273586e-14	7.940868964546987e-11	2.9625466371402568e-05
cg23256579	12	10849804.0	-0.30305847713001605	0.032212513596210045	6.517343816104255e-20	0.036635594318454125	6.284872705275238e-16	0.04105644601780997	5.111450033337256e-10	-0.055675670125789584	-0.2858163866303078	0.03200953477130322	3.538484868944626e-18	0.03596899449014098	7.420090579690603e-15	0.03960798510242709	9.846798723787545e-10	-0.05313134517312203	-0.2836192364505055	0.03325873391841083	1.0549464636805855e-16	0.03806215863323014	2.9681322221699225e-13	0.04209262604038632	6.522356670064714e-09	-0.05319282706680711	-0.013480690846340397	0.0015926519945763246	1.7233422331451891e-16	0.0018209706142011991	4.159141726587089e-13	0.0020132903415115656	7.700312765991913e-09	-0.002531607700946202	1.3190549909570642e-14	1.2720048141297134e-10	6.896760262814516e-05	7.161592603530063e-13	1.5017632625594507e-09	0.00013286055759369645	2.1351219720400922e-11	6.007247326433039e-08	0.0008800463666596018	3.487898195796045e-11	8.417749327565508e-08	0.0010389852341188349
cg00167275	10	87094831.0	0.3113495135175378	0.044005422228346566	3.523062044632798e-12	0.04498771600454334	9.893461225224251e-12	0.04741708197834269	1.2825956029449275e-08	0.018059039827531542	0.284949575287061	0.04168311949590144	1.736988120846315e-11	0.042088725122033044	2.6697538090874414e-11	0.04536280538435357	3.911548254266983e-08	0.015665176933607767	0.2789160530907405	0.03466296433303257	4.08069438167657e-15	0.038069788460900394	7.063541083645761e-13	0.04462182811515268	4.4128991656103745e-08	0.01573189729301562	0.013315980127766192	0.0016561211053044693	4.2681611050685616e-15	0.0018179907792877778	7.155682812843827e-13	0.00213459982120557	4.633383905834506e-08	0.000751738568754717	3.565189059031495e-07	1.001176228782487e-06	0.0012979322398671415	1.7577581563013347e-06	2.7016773902596044e-06	0.00395832059251738	4.129489284745467e-10	9.530671168204607e-08	0.00297711093825544	4.3191976414824187e-10	9.654995853437876e-08	0.0031258583959256816
cg00804338	13	113584919.0	0.3374041095812088	0.04075647954031174	5.988567941439783e-16	0.04372548800510209	3.9669548646120244e-14	0.043411037009203804	1.0846424805049646e-10	0.018529798855726445	0.3193093455471695	0.04087309521478043	1.990855711681811e-14	0.04363184277717644	6.724887894010713e-13	0.04258198938291523	3.2112123076522233e-10	0.01680624203680805	0.29989535300246073	0.03665826905956487	1.4955741124016626e-15	0.04184391231099144	2.0972227814910262e-12	0.04430271256408219	5.7661097716370004e-09	0.015370333844611199	0.0143052366753781	0.0017515044466487053	1.6545318129689363e-15	0.0019989214667123644	2.2518498330443107e-12	0.002117796689948826	6.10446163529305e-09	0.0007338048084794253	8.080234990132733e-11	5.35251963654083e-09	2.1952241859312054e-05	2.6862151584723283e-09	9.073734321337795e-08	6.499220757641949e-05	2.017943253134274e-10	2.122300322900705e-07	0.0008800463666596018	2.232421169496683e-10	2.2787763274229382e-07	0.0010389852341188349
cg18942579	17	59838412.0	-0.13228163380949537	0.03004566503326764	1.2301620513346798e-05	0.030355244148762933	1.5036216575427325e-05	0.02970540604538648	3.6730752861231584e-05	-0.02183803469816782	-0.1442597420379197	0.027678919199570728	2.444116073299025e-07	0.02750920549699118	2.0671882758416407e-07	0.028588407611334667	4.334780176605815e-06	-0.023824347617690724	-0.14356898121588416	0.023248691909036893	1.1662528805980547e-09	0.025094083076740114	1.6174902184149412e-08	0.027327810391429813	2.0065269018975837e-06	-0.023752531119628488	-0.006872000059915989	0.0011105686756166925	1.0824618981792365e-09	0.0011980989668280105	1.4909423483059767e-08	0.0013036959509158963	1.8788740496537084e-06	-0.0011369688835630746	0.06113271420145375	0.0811097174903521	0.11851737087394493	0.008993969422710902	0.009561060088810797	0.11482551679763633	8.494372722919199e-05	0.0013094650861613104	0.06247753684083151	7.769219433305646e-05	0.0012070162331486764	0.05850279034161362
cg12054453	17	59838356.0	-0.20127764600518802	0.037606425935433445	1.1667748752803469e-07	0.03945124356022253	4.2977871525397354e-07	0.03807186255133379	1.7722322664389269e-06	-0.030346989176219592	-0.18905460658875956	0.03653072852991702	2.9554651556347626e-07	0.03828804100935809	9.833198270620018e-07	0.03613663737691523	2.177712646862286e-06	-0.028612207178632144	-0.2290467459499284	0.0373244031143597	1.468950253850443e-09	0.04174503844921924	5.8788145578157585e-08	0.04053712142193523	4.482966191483825e-07	-0.03443999095668495	-0.010967598958090723	0.0017828734064207436	1.3435479264973954e-09	0.0019942990357065993	5.489104076452122e-08	0.001937787029309129	4.32231896595752e-07	-0.0016491478473083404	0.0029605851997952758	0.011262913535861268	0.03775628913189201	0.009969350434110884	0.02843079639697416	0.06680191997463622	8.494372722919199e-05	0.003966073655260561	0.024672890729446027	7.769219433305646e-05	0.0037031600256308655	0.024994303399959755
cg08115371	11	79404662.0	0.11292671922008898	0.02720762595276399	3.7107214688674935e-05	0.029215422306909974	0.0001209001498547178	0.029089743927432906	0.0002570904935425455	0.01698891597012877	0.14720471511198185	0.025352032482019445	9.572180237179643e-09	0.027524713738099338	1.1949953845088188e-07	0.02804144954065372	2.0370815234140864e-06	0.022179587595659234	0.15840708629343433	0.02579029148245369	1.4219099965525522e-09	0.029506843766460737	1.1079931440084487e-07	0.030905079819713462	3.2308265510236702e-06	0.023780690164242235	0.007581085998793934	0.0012318654654262624	1.3236114728763515e-09	0.0014100118143002991	1.061202654260286e-07	0.001478097495126498	3.1909727903190347e-06	0.0011381954159769448	0.08374959079305361	0.1853724445403115	0.2370520757349253	0.0007749311665892576	0.00793269714197477	0.06680191997463622	8.494372722919199e-05	0.005456775825873245	0.07692845081194201	7.769219433305646e-05	0.005231135707696094	0.0759795022931594
cg17107691	19	11178700.0	-0.2078470416593963	0.0325235891636021	2.954662847496602e-10	0.0332508744594494	6.963823044189624e-10	0.03337752976963447	4.8365516763499076e-08	-0.019642058598943968	-0.16763049779596864	0.029570874113963325	2.0817835176270063e-08	0.030616519853428076	6.042117292782366e-08	0.03042637314569295	7.66138318363104e-07	-0.01589843760312048	-0.16603304516291925	0.028282765957021096	6.945240005105303e-09	0.031021546992469475	1.2079777282053663e-07	0.026527886436686278	4.274842491799836e-08	-0.015763223594791854	-0.007941610877074696	0.0013510136697262017	6.6419028918753366e-09	0.0014818280884570294	1.1630977923792464e-07	0.0012676421417920863	4.175006648342093e-08	-0.0007541785300416954	2.3919945827964343e-05	5.6376743665924174e-05	0.003915507794415889	0.0013743022020285196	0.004891492728248649	0.038764970865246544	0.0003123683427762822	0.005456775825873245	0.00297711093825544	0.00029872548647577493	0.005231135707696094	0.0031258583959256816
cg16936953	17	59838304.0	-0.1473975867983684	0.03173706109169941	4.050921950377123e-06	0.031965828068144346	4.734002210125859e-06	0.03245134724096538	2.683588201811604e-05	-0.024941875065935846	-0.14973203093785806	0.02915613099564715	3.6253665888732584e-07	0.02924348007508052	3.921743298542065e-07	0.031035939353108787	9.750504885771605e-06	-0.02531866079693694	-0.1677586732009254	0.029600651788301697	2.1842409152728685e-08	0.031348797660923765	1.213266921606372e-07	0.03293991503025858	3.647096027435899e-06	-0.028378156669825263	-0.008034603443216165	0.0014139882867775103	2.011245621106984e-08	0.0014975172513327724	1.1269858347406256e-07	0.001574006305742941	3.4927451523449126e-06	-0.001359082640409381	0.0347519992585319	0.047759183969539355	0.1057527962909172	0.011288359722645263	0.01587455017613753	0.17160167909466467	0.0008648295316029433	0.005456775825873245	0.08201569284853254	0.0008141180362485482	0.005231135707696094	0.07854465894453505
cg23778841	13	113585382.0	0.15948771888264643	0.027298827273153956	7.77588792744708e-09	0.03178715582367952	6.595874244274931e-07	0.02870678810726621	6.425393705776053e-07	0.005431167910831666	0.15075382655393677	0.02732038781722669	4.7863659651493954e-08	0.030444730252431353	9.171750487180823e-07	0.027812502063693855	1.0727296705683724e-06	0.005064036685830933	0.15554750347573543	0.025987277852053847	3.574032527200538e-09	0.029229340184912557	1.4195206571781685e-07	0.02910411372472329	1.4271946330321385e-06	0.005636583380109675	0.007421137171494134	0.0012415459543515407	3.7484443898224244e-09	0.0013953995646310583	1.444660364503446e-07	0.001391857676445464	1.496893461976948e-06	0.0002690420852198965	0.0004496496061336874	0.014832765356779663	0.021674084503376236	0.0024217994680888347	0.02843079639697416	0.043422273424167754	0.00018083845105722692	0.005745978301745506	0.05106139422339446	0.00018966332068068631	0.005523504039919089	0.050493085518284575
